優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
414,割合,名詞,ビジネス,ratio,レシオ,,,proportion,
415,以下,名詞,抽象概念,below,ビロー,,,less than,
416,以上,名詞,抽象概念,above,アバブ,,,more than,
417,授業,名詞,教育,class,クラス,,,lesson,lecture
418,宿題,名詞,教育,homework,ホームワーク,,,assignment,
419,試験,名詞,教育,exam,イグザム,,,test,
420,成績,名詞,教育,grade,グレード,,,score,result
421,教科書,名詞,教育,textbook,テキストブック,,,,
422,先輩,名詞,社会,senior,シニア,,,upperclassman,
423,後輩,名詞,社会,junior,ジュニア,,,underclassman,
424,クラスメート,名詞,教育,classmate,クラスメート,,,,
425,親,名詞,日常生活,parent,ペアレント,,,,
426,兄弟,名詞,日常生活,sibling,シブリング,,,brothers,
427,姉妹,名詞,日常生活,sister,シスター,,,sisters,
428,夫,名詞,日常生活,husband,ハズバンド,,,,
429,妻,名詞,日常生活,wife,ワイフ,,,,
430,息子,名詞,日常生活,son,サン,,,,
431,娘,名詞,日常生活,daughter,ドーター,,,,
432,祖父,名詞,日常生活,grandfather,グランドファーザー,,,,
433,祖母,名詞,日常生活,grandmother,グランドマザー,,,,
434,恋人,名詞,感情,partner,パートナー,,,girlfriend,boyfriend
435,夫婦,名詞,日常生活,couple,カップル,,,married pair,
436,音楽,名詞,趣味,music,ミュージック,,,,
437,映画,名詞,趣味,movie,ムービー,,,film,
438,絵,名詞,趣味,picture,ピクチャー,,,drawing,painting
439,写真,名詞,趣味,photo,フォト,,,photograph,
440,本,名詞,趣味,book,ブック,,,,
441,雑誌,名詞,趣味,magazine,マガジン,,,,
442,新聞,名詞,趣味,newspaper,ニュースペーパー,,,,
443,漫画,名詞,趣味,comic,コミック,,,manga,
444,小説,名詞,趣味,novel,ノベル,,,fiction,
445,歌,名詞,趣味,song,ソング,,,,
446,ゲーム,名詞,趣味,game,ゲーム,,,,
447,スポーツ,名詞,趣味,sport,スポーツ,,,,
448,趣味,名詞,趣味,hobby,ホビー,,,pastime,
449,休日,名詞,日常生活,holiday,ホリデー,,,day off,
450,予定,名詞,日常生活,schedule,スケジュール,,,plan,
451,遊ぶ,動詞,趣味,play,プレイ,played,played,have fun,
452,踊る,動詞,趣味,dance,ダンス,danced,danced,,
453,歌う,動詞,趣味,sing,シング,sang,sung,,
454,描く,動詞,趣味,draw,ドロー,drew,drawn,paint,sketch
455,撮る,動詞,趣味,take (a photo),テイク,took (a photo),taken (a photo),shoot,capture
456,弾く,動詞,趣味,play (an instrument),プレイ,played (an instrument),played (an instrument),strum,
457,演奏する,動詞,趣味,perform,パフォーム,performed,performed,play music,
458,鑑賞する,動詞,趣味,appreciate,アプリシエート,appreciated,appreciated,view,watch
459,収集する,動詞,趣味,gather,ギャザー,gathered,gathered,collect,accumulate
460,応援する,動詞,趣味,cheer for,チアフォー,cheered for,cheered for,support,root for
461,勝つ,動詞,基本動詞,win,ウィン,won,won,triumph,succeed
462,負ける,動詞,基本動詞,lose (a game),ルーズ,lost (a game),lost (a game),be defeated,
463,引き分ける,動詞,基本動詞,draw (a game),ドロー,drew (a game),drawn (a game),tie,
464,応じる,動詞,ビジネス,respond,レスポンド,responded,responded,comply,answer
465,対応する,動詞,ビジネス,handle,ハンドル,handled,handled,deal with,cope with
466,実現する,動詞,ビジネス,realize,リアライズ,realized,realized,make happen,fulfill
467,維持する,動詞,ビジネス,maintain,メインテイン,maintained,maintained,sustain,keep up
468,向上する,動詞,ビジネス,improve,インプルーブ,improved,improved,get better,progress
469,悪化する,動詞,ビジネス,worsen,ワーセン,worsened,worsened,deteriorate,decline
470,拡大する,動詞,ビジネス,expand,エクスパンド,expanded,expanded,grow,enlarge
471,縮小する,動詞,ビジネス,shrink,シュリンク,shrank,shrunk,reduce,downsize
472,普及する,動詞,社会,spread,スプレッド,spread,spread,become common,proliferate
473,発生する,動詞,社会,arise,アライズ,arose,arisen,emerge,break out
474,成長する,動詞,基本動詞,grow,グロウ,grew,grown,develop,mature
475,存在する,動詞,抽象概念,be present,ビープレゼント,was present,been present,exist,
476,消える,動詞,基本動詞,disappear,ディサピア,disappeared,disappeared,vanish,fade away
477,現れる,動詞,基本動詞,appear,アピア,appeared,appeared,emerge,show up
478,広がる,動詞,基本動詞,spread out,スプレッドアウト,spread out,spread out,expand,extend
479,含む,動詞,ビジネス,include,インクルード,included,included,contain,involve
480,除く,動詞,ビジネス,exclude,エクスクルード,excluded,excluded,remove,leave out
481,示す,動詞,ビジネス,show,ショー,showed,shown,indicate,demonstrate
482,表す,動詞,抽象概念,represent,レプリゼント,represented,represented,express,symbolize
483,関する,動詞,抽象概念,relate to,リレイトトゥ,related to,related to,concern,be about
484,基づく,動詞,抽象概念,be based on,ビーベイストオン,was based on,been based on,rely on,derive from
485,従う,動詞,社会,follow,フォロー,followed,followed,obey,comply with
486,伴う,動詞,抽象概念,accompany,アカンパニー,accompanied,accompanied,involve,come with
487,関わる,動詞,社会,be involved,ビーインボルブド,was involved,been involved,participate,concern
488,異なる,動詞,抽象概念,differ,ディファー,differed,differed,vary,be different
489,一致する,動詞,抽象概念,match,マッチ,matched,matched,agree,coincide
490,対立する,動詞,社会,conflict,コンフリクト,conflicted,conflicted,clash,oppose
491,共存する,動詞,社会,coexist,コーイグジスト,coexisted,coexisted,live together,
492,共有する,動詞,ビジネス,share,シェア,shared,shared,,
493,分ける,動詞,基本動詞,divide,ディバイド,divided,divided,split,separate
494,結びつく,動詞,抽象概念,connect,コネクト,connected,connected,link,join
495,つながる,動詞,抽象概念,link,リンク,linked,linked,connect,relate
496,広げる,動詞,基本動詞,widen,ワイドゥン,widened,widened,expand,extend
497,狭める,動詞,基本動詞,narrow,ナロー,narrowed,narrowed,tighten,restrict
498,深める,動詞,抽象概念,deepen,ディープン,deepened,deepened,strengthen,intensify
499,高める,動詞,抽象概念,heighten,ハイテン,heightened,heightened,raise,boost
500,弱める,動詞,抽象概念,weaken,ウィークン,weakened,weakened,lessen,undermine
501,コンピューター,名詞,テクノロジー,computer,コンピューター,,,PC,
502,インターネット,名詞,テクノロジー,internet,インターネット,,,the net,web
503,ウェブサイト,名詞,テクノロジー,website,ウェブサイト,,,site,page
504,アプリ,名詞,テクノロジー,app,アプリ,,,application,
505,ソフトウェア,名詞,テクノロジー,software,ソフトウェア,,,program,
506,データ,名詞,テクノロジー,data,データ,,,information,
507,画面,名詞,テクノロジー,screen,スクリーン,,,display,monitor
508,ボタン,名詞,テクノロジー,button,ボタン,,,key,switch
509,設定,名詞,テクノロジー,settings,セッティング,,,configuration,preferences
510,保存する,動詞,テクノロジー,store,ストア,stored,stored,save,keep
511,ダウンロードする,動詞,テクノロジー,download,ダウンロード,downloaded,downloaded,fetch,get
512,アップロードする,動詞,テクノロジー,upload,アップロード,uploaded,uploaded,post,submit
513,検索する,動詞,テクノロジー,look up,ルックアップ,looked up,looked up,search for,find
514,動画,名詞,テクノロジー,video,ビデオ,,,clip,footage
515,音声,名詞,テクノロジー,audio,オーディオ,,,sound,voice recording
516,効果,名詞,抽象概念,effect,エフェクト,,,impact,result
517,影響,名詞,抽象概念,influence,インフルエンス,,,impact,
518,傾向,名詞,抽象概念,trend,トレンド,,,tendency,inclination
519,特徴,名詞,抽象概念,feature,フィーチャー,,,characteristic,trait
520,特色,名詞,抽象概念,trait,トレイト,,,characteristic,quality
521,印象,名詞,抽象概念,impression,インプレッション,,,image,feel
522,状態,名詞,抽象概念,state,ステート,,,condition,status
523,状況,名詞,抽象概念,situation,シチュエーション,,,circumstance,context
524,環境,名詞,社会,environment,エンバイロメント,,,surroundings,setting
525,条件,名詞,抽象概念,condition,コンディション,,,requirement,term
526,基準,名詞,抽象概念,standard,スタンダード,,,criteria,benchmark
527,原因,名詞,抽象概念,origin,オリジン,,,root cause,source
528,効率,名詞,ビジネス,efficiency,エフィシェンシー,,,productivity,
529,品質,名詞,ビジネス,quality,クオリティ,,,grade,standard
530,数量,名詞,ビジネス,quantity,クオンティティ,,,amount,volume
531,犬,名詞,動物,dog,ドッグ,,,,
532,猫,名詞,動物,cat,キャット,,,,
533,鳥,名詞,動物,bird,バード,,,,
534,虫,名詞,動物,insect,インセクト,,,bug,
535,牛,名詞,動物,cow,カウ,,,cattle,
536,豚,名詞,動物,pig,ピッグ,,,,
537,馬,名詞,動物,horse,ホース,,,,
538,羊,名詞,動物,sheep,シープ,,,,
539,象,名詞,動物,elephant,エレファント,,,,
540,ライオン,名詞,動物,lion,ライオン,,,,
541,材料,名詞,日常生活,ingredient,イングリーディエント,,,component,
542,レシピ,名詞,日常生活,recipe,レシピ,,,cooking instructions,
543,味付け,名詞,日常生活,seasoning,シーズニング,,,flavoring,
544,調味料,名詞,日常生活,condiment,コンディメント,,,seasoning,
545,鍋,名詞,日常生活,pot,ポット,,,pan,
546,フライパン,名詞,日常生活,frying pan,フライパン,,,skillet,
547,包丁,名詞,日常生活,knife,ナイフ,,,blade,
548,オーブン,名詞,日常生活,oven,オーブン,,,,
549,まな板,名詞,日常生活,cutting board,カッティングボード,,,chopping board,
550,皿,名詞,日常生活,plate,プレート,,,dish,
551,現金,名詞,ビジネス,cash,キャッシュ,,,money,
552,クレジットカード,名詞,ビジネス,credit card,クレジットカード,,,card,
553,レシート,名詞,ビジネス,receipt,レシート,,,slip,
554,領収書,名詞,ビジネス,invoice,インボイス,,,bill,receipt
555,値段,名詞,ビジネス,charge,チャージ,,,price,cost
556,予約,名詞,日常生活,reservation,リザベーション,,,booking,
557,支払い,名詞,ビジネス,payment,ペイメント,,,settlement,
558,返品,名詞,ビジネス,refund,リファンド,,,return item,
559,保証,名詞,ビジネス,warranty,ワランティ,,,guarantee,
560,レジ,名詞,ビジネス,cashier,キャッシャー,,,checkout,
561,地球,名詞,自然,earth,アース,,,globe,planet
562,海,名詞,自然,sea,シー,,,ocean,
563,山,名詞,自然,mountain,マウンテン,,,peak,
564,川,名詞,自然,river,リバー,,,stream,
565,湖,名詞,自然,lake,レイク,,,,
566,森,名詞,自然,forest,フォレスト,,,woods,
567,谷,名詞,自然,valley,バレー,,,,
568,島,名詞,自然,island,アイランド,,,,
569,岩,名詞,自然,rock,ロック,,,boulder,
570,砂漠,名詞,自然,desert,デザート,,,wasteland,
571,講義,名詞,教育,lecture,レクチャー,,,class talk,
572,学部,名詞,教育,faculty,ファカルティ,,,department,
573,専攻,名詞,教育,major,メジャー,,,specialization,
574,卒業式,名詞,教育,graduation ceremony,グラジュエーションセレモニー,,,commencement,
575,入試,名詞,教育,entrance exam,エントランスイグザム,,,admission test,
576,単位,名詞,教育,credit,クレジット,,,academic unit,
577,奨学金,名詞,教育,scholarship,スカラーシップ,,,grant,
578,留学,名詞,教育,study abroad,スタディアブロード,,,overseas study,
579,教授,名詞,教育,professor,プロフェッサー,,,,
580,講師,名詞,教育,instructor,インストラクター,,,lecturer,
581,試合,名詞,趣味,contest,コンテスト,,,match,game
582,選手,名詞,趣味,athlete,アスリート,,,player,
583,チーム,名詞,趣味,team,チーム,,,squad,
584,監督,名詞,趣味,coach,コーチ,,,manager,director
585,審判,名詞,趣味,referee,レフェリー,,,umpire,
586,コート,名詞,趣味,court,コート,,,field,
587,ボール,名詞,趣味,ball,ボール,,,,
588,ラケット,名詞,趣味,racket,ラケット,,,,
589,ユニフォーム,名詞,趣味,uniform,ユニフォーム,,,kit,
590,スタジアム,名詞,趣味,stadium,スタジアム,,,arena,
591,洗濯機,名詞,日常生活,washing machine,ウォッシングマシーン,,,washer,
592,掃除機,名詞,日常生活,vacuum cleaner,バキュームクリーナー,,,vacuum,
593,エアコン,名詞,日常生活,air conditioner,エアコンディショナー,,,AC,
594,電子レンジ,名詞,日常生活,microwave,マイクロウェーブ,,,,
595,コンロ,名詞,日常生活,stove,ストーブ,,,burner,cooktop
596,確かめる,動詞,基本動詞,double-check,ダブルチェック,double-checked,double-checked,verify,make sure
597,気づく,動詞,基本動詞,notice,ノーティス,noticed,noticed,realize,become aware
598,目指す,動詞,抽象概念,aim for,エイムフォー,aimed for,aimed for,strive for,target
599,心がける,動詞,抽象概念,keep in mind,キープインマインド,kept in mind,kept in mind,bear in mind,
600,見送る,動詞,日常生活,see off,シーオフ,saw off,seen off,bid farewell,
601,職業,名詞,ビジネス,occupation,オキュペーション,,,profession,job
602,会社員,名詞,ビジネス,office worker,オフィスワーカー,,,employee,
603,公務員,名詞,ビジネス,civil servant,シビルサーバント,,,government worker,
604,弁護士,名詞,ビジネス,lawyer,ロイヤー,,,attorney,
605,教師,名詞,教育,educator,エデュケーター,,,teacher,instructor
606,エンジニア,名詞,ビジネス,engineer,エンジニア,,,,
607,デザイナー,名詞,ビジネス,designer,デザイナー,,,,
608,店員,名詞,ビジネス,store clerk,ストアクラーク,,,shop assistant,
609,料理人,名詞,ビジネス,cook,クック,,,chef,
610,運転手,名詞,ビジネス,driver,ドライバー,,,chauffeur,
611,警察官,名詞,社会,police officer,ポリスオフィサー,,,cop,
612,消防士,名詞,社会,firefighter,ファイアーファイター,,,,
613,農家,名詞,ビジネス,farmer,ファーマー,,,,
614,漁師,名詞,ビジネス,fisherman,フィッシャーマン,,,,
615,俳優,名詞,趣味,actor,アクター,,,performer,
616,歌手,名詞,趣味,singer,シンガー,,,vocalist,
617,画家,名詞,趣味,painter,ペインター,,,artist,
618,作家,名詞,趣味,writer,ライター,,,author,
619,記者,名詞,ビジネス,journalist,ジャーナリスト,,,reporter,
620,アナウンサー,名詞,ビジネス,announcer,アナウンサー,,,newscaster,
621,シャツ,名詞,日常生活,shirt,シャツ,,,,
622,ズボン,名詞,日常生活,pants,パンツ,,,trousers,
623,スカート,名詞,日常生活,skirt,スカート,,,,
624,ジャケット,名詞,日常生活,jacket,ジャケット,,,coat,
625,セーター,名詞,日常生活,sweater,セーター,,,,
626,下着,名詞,日常生活,underwear,アンダーウェア,,,,
627,靴下,名詞,日常生活,socks,ソックス,,,,
628,手袋,名詞,日常生活,gloves,グローブ,,,,
629,眼鏡,名詞,日常生活,glasses,グラス,,,spectacles,
630,指輪,名詞,日常生活,ring,リング,,,,
631,曇り,名詞,自然,cloudy,クラウディ,,,overcast,
632,晴れ,名詞,自然,sunny,サニー,,,clear,fine
633,湿度,名詞,自然,humidity,ヒューミディティ,,,moisture,
634,気圧,名詞,自然,air pressure,エアプレッシャー,,,,
635,台風,名詞,自然,typhoon,タイフーン,,,storm,
636,地震,名詞,自然,earthquake,アースクエイク,,,quake,
637,雷,名詞,自然,thunder,サンダー,,,lightning,
638,虹,名詞,自然,rainbow,レインボー,,,,
639,霧,名詞,自然,fog,フォグ,,,mist,
640,氷,名詞,自然,ice,アイス,,,,
641,話しかける,動詞,社会,talk to,トークトゥ,talked to,talked to,approach someone,
642,伝える,動詞,社会,convey,コンベイ,conveyed,conveyed,communicate,tell
643,述べる,動詞,ビジネス,remark,リマーク,remarked,remarked,state,mention
644,語る,動詞,社会,narrate,ナレイト,narrated,narrated,tell,recount
645,黙る,動詞,感情,go silent,ゴーサイレント,went silent,gone silent,stay quiet,
646,叫ぶ,動詞,感情,shout,シャウト,shouted,shouted,yell,scream
647,囁く,動詞,感情,whisper,ウィスパー,whispered,whispered,murmur,
648,呟く,動詞,感情,mutter,マター,muttered,muttered,murmur,
649,尋ねる,動詞,社会,inquire,インクワイア,inquired,inquired,ask,query
650,返答する,動詞,教育,reply,リプライ,replied,replied,respond,answer
651,東,名詞,基本名詞,east,イースト,,,,
652,西,名詞,基本名詞,west,ウェスト,,,,
653,南,名詞,基本名詞,south,サウス,,,,
654,北,名詞,基本名詞,north,ノース,,,,
655,上,名詞,基本名詞,top,トップ,,,above,upper
656,下,名詞,基本名詞,bottom,ボトム,,,below,under
657,前,名詞,基本名詞,front,フロント,,,ahead,
658,後ろ,名詞,基本名詞,behind,ビハインド,,,back,rear
659,右,名詞,基本名詞,right (direction),ライト,,,,
660,左,名詞,基本名詞,left (direction),レフト,,,,
661,正月,名詞,社会,New Year,ニューイヤー,,,New Year's Day,
662,誕生日,名詞,日常生活,birthday,バースデー,,,,
663,祭り,名詞,社会,festival,フェスティバル,,,fest,
664,花火,名詞,趣味,fireworks,ファイヤーワークス,,,,
665,クリスマス,名詞,社会,Christmas,クリスマス,,,,
666,結婚式,名詞,日常生活,wedding,ウェディング,,,marriage ceremony,
667,葬式,名詞,社会,funeral,フューネラル,,,,
668,記念日,名詞,日常生活,anniversary,アニバーサリー,,,,
669,行事,名詞,社会,event,イベント,,,occasion,
670,儀式,名詞,社会,ceremony,セレモニー,,,ritual,
671,体温,名詞,健康,body temperature,ボディテンパラチャー,,,,
672,血圧,名詞,健康,blood pressure,ブラッドプレッシャー,,,,
673,体重,名詞,健康,body weight,ボディウェイト,,,,
674,身長,名詞,健康,height (body),ハイト,,,stature,
675,栄養,名詞,健康,nutrition,ニュートリション,,,nourishment,
676,運動,名詞,健康,exercise,エクササイズ,,,workout,
677,睡眠,名詞,健康,sleep (noun),スリープ,,,rest,
678,疲れ,名詞,健康,fatigue,ファティーグ,,,tiredness,
679,ストレス,名詞,健康,stress,ストレス,,,pressure,
680,免疫,名詞,健康,immunity,イミュニティ,,,resistance,
681,診察する,動詞,健康,examine (medically),イグザミン,examined (medically),examined (medically),check up,
682,診断する,動詞,健康,diagnose,ダイアグノーズ,diagnosed,diagnosed,identify,
683,処方する,動詞,健康,prescribe,プリスクライブ,prescribed,prescribed,,
684,入院する,動詞,健康,be hospitalized,ビーホスピタライズド,was hospitalized,been hospitalized,,
685,退院する,動詞,健康,leave the hospital,リーブザホスピタル,left the hospital,left the hospital,be discharged,
686,注射する,動詞,健康,inject,インジェクト,injected,injected,give a shot,
687,検査する,動詞,健康,inspect,インスペクト,inspected,inspected,test,examine
688,予防する,動詞,健康,prevent,プリベント,prevented,prevented,ward off,
689,感染する,動詞,健康,become infected,ビカムインフェクテッド,became infected,become infected,catch,
690,回復する,動詞,健康,recuperate,リキュパレート,recuperated,recuperated,recover,heal
691,通勤する,動詞,ビジネス,commute to work,コミュートトゥワーク,commuted to work,commuted to work,,
692,出勤する,動詞,ビジネス,go to work,ゴートゥワーク,went to work,gone to work,,
693,残業する,動詞,ビジネス,work overtime,ワークオーバータイム,worked overtime,worked overtime,,
694,休憩する,動詞,ビジネス,take a break,テイクアブレイク,took a break,taken a break,rest,
695,出張する,動詞,ビジネス,go on a business trip,ゴーオンアビジネストリップ,went on a business trip,gone on a business trip,,
696,昇進する,動詞,ビジネス,get promoted,ゲットプロモーテッド,got promoted,gotten promoted,advance,
697,異動する,動詞,ビジネス,be transferred,ビートランスファード,was transferred,been transferred,relocate within a company,
698,採用する,動詞,ビジネス,hire,ハイヤー,hired,hired,recruit,employ
699,解雇する,動詞,ビジネス,fire (an employee),ファイア,fired (an employee),fired (an employee),dismiss,lay off
700,転職する,動詞,ビジネス,change jobs,チェンジジョブズ,changed jobs,changed jobs,switch careers,
701,赤,名詞,色,red,レッド,,,
702,青,名詞,色,blue,ブルー,,,
703,黄色,名詞,色,yellow,イエロー,,,
704,緑,名詞,色,green,グリーン,,,
705,黒,名詞,色,black,ブラック,,,
706,白,名詞,色,white,ホワイト,,,
707,茶色,名詞,色,brown,ブラウン,,,
708,灰色,名詞,色,gray,グレー,,,
709,紫,名詞,色,purple,パープル,,,
710,ピンク,名詞,色,pink,ピンク,,,
711,ネクタイ,名詞,日常生活,necktie,ネクタイ,,,tie
712,ベルト,名詞,日常生活,belt,ベルト,,,
713,アクセサリー,名詞,日常生活,accessory,アクセサリー,,,
714,イヤリング,名詞,日常生活,earring,イヤリング,,,
715,ネックレス,名詞,日常生活,necklace,ネックレス,,,
716,時計,名詞,日常生活,watch,ウォッチ,,,clock
717,サングラス,名詞,日常生活,sunglasses,サングラス,,,
718,傘,名詞,日常生活,umbrella,アンブレラ,,,
719,マスク,名詞,日常生活,mask,マスク,,,
720,財布,名詞,日常生活,wallet,ウォレット,,,purse
721,フォーク,名詞,日常生活,fork,フォーク,,,
722,スプーン,名詞,日常生活,spoon,スプーン,,,
723,箸,名詞,日常生活,chopsticks,チョップスティックス,,,
724,コップ,名詞,日常生活,cup,カップ,,,
725,グラス,名詞,日常生活,glass,グラス,,,
726,ナプキン,名詞,日常生活,napkin,ナプキン,,,
727,蓋,名詞,日常生活,lid,リッド,,,cover
728,タオル,名詞,日常生活,towel,タオル,,,
729,布巾,名詞,日常生活,dishcloth,ディッシュクロス,,,
730,スポンジ,名詞,日常生活,sponge,スポンジ,,,
731,プリンター,名詞,テクノロジー,printer,プリンター,,,
732,コピー機,名詞,テクノロジー,photocopier,フォトコピアー,,,copier
733,ファイル,名詞,テクノロジー,file,ファイル,,,
734,フォルダ,名詞,テクノロジー,folder,フォルダー,,,
735,メール,名詞,テクノロジー,email,イーメール,,,
736,ノートパソコン,名詞,テクノロジー,laptop,ラップトップ,,,
737,マウス,名詞,テクノロジー,mouse,マウス,,,
738,キーボード,名詞,テクノロジー,keyboard,キーボード,,,
739,充電器,名詞,テクノロジー,charger,チャージャー,,,
740,バッテリー,名詞,テクノロジー,battery,バッテリー,,,
741,愛,名詞,感情,love,ラブ,,,affection
742,友情,名詞,感情,friendship,フレンドシップ,,,
743,信頼,名詞,感情,trust,トラスト,,,confidence
744,尊敬,名詞,感情,respect,リスペクト,,,admiration
745,嫉妬,名詞,感情,jealousy,ジェラシー,,,envy
746,後悔,名詞,感情,regret,リグレット,,,remorse
747,失望,名詞,感情,disappointment,ディサポイントメント,,,
748,満足,名詞,感情,satisfaction,サティスファクション,,,contentment
749,興奮,名詞,感情,excitement,イクサイトメント,,,thrill
750,緊張,名詞,感情,nervousness,ナーバスネス,,,tension
751,可能性,名詞,抽象概念,possibility,ポッシビリティ,,,chance
752,必要性,名詞,抽象概念,necessity,ネセシティ,,,need
753,重要性,名詞,抽象概念,importance,インポータンス,,,significance
754,価値,名詞,抽象概念,value,バリュー,,,worth
755,意義,名詞,抽象概念,significance,シグニフィカンス,,,meaning
756,方向,名詞,抽象概念,direction,ディレクション,,,
757,位置,名詞,抽象概念,position,ポジション,,,location
758,距離,名詞,抽象概念,distance,ディスタンス,,,
759,面積,名詞,抽象概念,area,エリア,,,
760,人口,名詞,社会,population,ポピュレーション,,,
761,大陸,名詞,自然,continent,コンチネント,,,
762,半島,名詞,自然,peninsula,ペニンシュラ,,,
763,首都,名詞,社会,capital,キャピタル,,,capital city
764,国境,名詞,社会,border,ボーダー,,,
765,地図,名詞,日常生活,map,マップ,,,
766,地域,名詞,社会,region,リージョン,,,area
767,都市,名詞,社会,city,シティ,,,
768,田舎,名詞,社会,countryside,カントリーサイド,,,
769,郊外,名詞,社会,suburb,サバーブ,,,
770,地方,名詞,社会,locality,ローカリティ,,,
771,犯罪,名詞,社会,crime,クライム,,,
772,被害者,名詞,社会,victim,ビクティム,,,
773,容疑者,名詞,社会,suspect,サスペクト,,,
774,裁判,名詞,社会,trial,トライアル,,,
775,判決,名詞,社会,verdict,バーディクト,,,ruling
776,罰金,名詞,社会,fine,ファイン,,,penalty
777,警察,名詞,社会,police,ポリス,,,
778,刑務所,名詞,社会,prison,プリズン,,,jail
779,証拠,名詞,社会,evidence,エビデンス,,,proof
780,弁護,名詞,社会,defense,ディフェンス,,,
781,逮捕する,動詞,社会,arrest,アレスト,arrested,arrested,
782,盗む,動詞,社会,steal,スティール,stole,stolen,
783,殺す,動詞,社会,kill,キル,killed,killed,
784,騙す,動詞,社会,deceive,ディシーブ,deceived,deceived,trick
785,疑われる,動詞,社会,be suspected,ビーサスペクテッド,was suspected,been suspected,
786,罰する,動詞,社会,punish,パニッシュ,punished,punished,
787,訴える,動詞,社会,sue,スー,sued,sued,
788,裁く,動詞,社会,adjudicate,アジュディケート,adjudicated,adjudicated,judge
789,弁護する,動詞,社会,defend,ディフェンド,defended,defended,
790,違反する,動詞,社会,violate,バイオレイト,violated,violated,break the law
791,想像する,動詞,抽象概念,imagine,イマジン,imagined,imagined,
792,期待する,動詞,感情,expect,イクスペクト,expected,expected,anticipate
793,信頼する,動詞,感情,rely on,リライオン,relied on,relied on,trust
794,尊敬する,動詞,感情,admire,アドマイア,admired,admired,look up to
795,後悔する,動詞,感情,rue,ルー,rued,rued,regret
796,満足する,動詞,感情,be satisfied,ビーサティスファイド,was satisfied,been satisfied,
797,興奮する,動詞,感情,get excited,ゲットイクサイテッド,got excited,gotten excited,
798,緊張する,動詞,感情,get nervous,ゲットナーバス,got nervous,gotten nervous,
799,嫉妬する,動詞,感情,be jealous,ビージェラス,was jealous,been jealous,
800,悩む,動詞,感情,agonize,アゴナイズ,agonized,agonized,worry
801,数,名詞,基本名詞,count,カウント,,,number,figure
802,数年,名詞,基本名詞,several years,セバラルイヤーズ,,,a few years
803,数ヶ月,名詞,基本名詞,several months,セバラルマンス,,,a few months
804,数日,名詞,基本名詞,several days,セバラルデイズ,,,a few days
805,数分,名詞,基本名詞,several minutes,セバラルミニッツ,,,a few minutes
806,数回,名詞,基本名詞,several times,セバラルタイムズ,,,a few times
807,数人,名詞,基本名詞,several people,セバラルピーポー,,,a few people
808,質問,名詞,教育,question,クエスチョン,,,query
809,説明,名詞,ビジネス,explanation,エクスプラネーション,,,description
810,約束,名詞,社会,pledge,プレッジ,,,promise
811,連絡,名詞,ビジネス,communication,コミュニケーション,,,contact
812,発表,名詞,ビジネス,announcement,アナウンスメント,,,presentation
813,提案,名詞,ビジネス,proposal,プロポーザル,,,suggestion
814,準備,名詞,日常生活,preparation,プレパレーション,,,arrangement
815,練習,名詞,教育,practice,プラクティス,,,training
816,勉強,名詞,教育,study,スタディ,,,learning
817,運動会,名詞,教育,sports day,スポーツデイ,,,athletic meet
818,遠足,名詞,教育,school trip,スクールトリップ,,,excursion
819,夏休み,名詞,教育,summer vacation,サマーバケーション,,,summer break
820,冬休み,名詞,教育,winter vacation,ウィンターバケーション,,,winter break
821,来週,名詞,基本名詞,next week,ネクストウィーク,,,
822,来月,名詞,基本名詞,next month,ネクストマンス,,,
823,来年,名詞,基本名詞,next year,ネクストイヤー,,,
824,先週,名詞,基本名詞,last week,ラストウィーク,,,
825,先月,名詞,基本名詞,last month,ラストマンス,,,
826,去年,名詞,基本名詞,last year,ラストイヤー,,,
827,毎日,名詞,基本名詞,every day,エブリデイ,,,daily
828,毎週,名詞,基本名詞,every week,エブリウィーク,,,weekly
829,毎月,名詞,基本名詞,every month,エブリマンス,,,monthly
830,毎年,名詞,基本名詞,every year,エブリイヤー,,,annually
831,一瞬,名詞,基本名詞,moment,モーメント,,,instant
832,永遠,名詞,抽象概念,eternity,エターニティ,,,forever
833,期間,名詞,基本名詞,period,ピリオド,,,duration
834,締め切り,名詞,ビジネス,deadline,デッドライン,,,due date
835,期限,名詞,ビジネス,time limit,タイムリミット,,,deadline
836,途中,名詞,基本名詞,on the way,オンザウェイ,,,midway
837,最初,名詞,基本名詞,beginning,ビギニング,,,start
838,最後,名詞,基本名詞,end (final),エンド,,,ending
839,途中経過,名詞,ビジネス,progress,プログレス,,,status
840,結局,名詞,抽象概念,in the end,インジエンド,,,eventually
841,一部,名詞,抽象概念,portion,ポーション,,,fraction
842,大部分,名詞,抽象概念,majority,マジョリティ,,,most
843,少数,名詞,抽象概念,minority,マイノリティ,,,few
844,多数,名詞,抽象概念,large number,ラージナンバー,,,many
845,平均値,名詞,ビジネス,mean value,ミーンバリュー,,,average figure
846,最大,名詞,抽象概念,maximum,マキシマム,,,peak
847,最小,名詞,抽象概念,minimum,ミニマム,,,least
848,増加,名詞,ビジネス,increase (noun),インクリース,,,rise
849,減少,名詞,ビジネス,decrease (noun),ディクリース,,,decline
850,維持,名詞,ビジネス,maintenance,メインテナンス,,,upkeep
851,改善,名詞,ビジネス,improvement,インプルーブメント,,,betterment
852,悪化,名詞,ビジネス,worsening,ワーセニング,,,deterioration
