優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
2555,設計,名詞,ビジネス,engineering design,エンジニアリングデザイン,,,
2556,奥行き,名詞,抽象概念,depth,デプス,,,
2557,機能,名詞,テクノロジー,function (feature),フィーチャー,,,
2558,計測,名詞,テクノロジー,measurement,メジャーメント,,,metering
2559,最適化,名詞,テクノロジー,optimization,オプティマイゼーション,,,
2560,読み込み,名詞,テクノロジー,loading (data),ローディング,,,
2561,重要,名詞,抽象概念,criticality,クリティカリティ,,,importance
2562,分野,名詞,教育,field (domain),ドメイン,,,area of study
2563,指標,名詞,ビジネス,indicator (metric),インディケーター,,,benchmark
2564,表示,名詞,テクノロジー,display (on-screen),オンスクリーンディスプレイ,,,
2565,主要,名詞,抽象概念,principal (main),プリンシパル,,,leading
2566,予期,名詞,抽象概念,anticipation,アンティシペーション,,,expectation
2567,予測,名詞,ビジネス,forecast,フォーキャスト,,,prediction
2568,操作,名詞,テクノロジー,manipulation (controls),マニピュレーション,,,handling
2569,領域,名詞,抽象概念,domain (territory),ドメインテリトリー,,,realm
2570,数値化,名詞,テクノロジー,quantification,クオンティフィケーション,,,
2571,良好,名詞,抽象概念,favorable (good condition),フェイバラブル,,,
2572,累積,名詞,ビジネス,cumulative total,キュムラティブトータル,,,accumulation
2573,動的,名詞,テクノロジー,dynamic,ダイナミック,,,
2574,静的,名詞,テクノロジー,static,スタティック,,,
2575,視覚的,名詞,抽象概念,visual,ビジュアル,,,
2576,測定,名詞,テクノロジー,measuring (metrics),メジャリング,,,
2577,安定,名詞,抽象概念,stability,スタビリティ,,,
2578,不安定,名詞,抽象概念,instability,インスタビリティ,,,
2579,場合,名詞,基本名詞,case (situation),ケース,,,
2580,関係,名詞,社会,relationship,リレーションシップ,,,
2581,関連,名詞,抽象概念,relevance,レレバンス,,,connection
2582,連携,名詞,ビジネス,coordination (linkage),コーディネーション,,,
2583,交流,名詞,社会,interaction (exchange),インタラクション,,,
2584,接触,名詞,社会,physical contact,フィジカルコンタクト,,,
2585,接続,名詞,テクノロジー,connection (technical),コネクション,,,
2586,遭遇,名詞,日常生活,encounter,エンカウンター,,,
2587,出会い,名詞,日常生活,chance meeting,チャンスミーティング,,,
2588,別れ,名詞,感情,parting (farewell),パーティング,,,
2589,再会,名詞,感情,reunion,リユニオン,,,
2590,類似,名詞,抽象概念,similarity,シミラリティ,,,
2591,相違,名詞,抽象概念,difference (discrepancy),ディファレンス,,,
2592,差異,名詞,抽象概念,variance,バリアンス,,,
2593,伝わる,動詞,社会,be conveyed,ビーコンベイド,was conveyed,been conveyed,
2594,広まる,動詞,社会,become widespread,ビカムワイドスプレッド,became widespread,become widespread,
2595,深まる,動詞,抽象概念,grow deeper,グロウディーパー,grew deeper,grown deeper,
2596,高まる,動詞,抽象概念,escalate,エスカレート,escalated,escalated,
2597,強まる,動詞,抽象概念,intensify,インテンシファイ,intensified,intensified,
2598,弱まる,動詞,抽象概念,wane,ウェイン,waned,waned,
2599,広める,動詞,社会,propagate,プロパゲート,propagated,propagated,
2600,承知,名詞,ビジネス,acknowledgment,アクノリッジメント,,,
2601,把握,名詞,ビジネス,grasp (understanding),グラスプ,,,
2602,認識,名詞,抽象概念,recognition (awareness),レコグニション,,,
2603,理解,名詞,教育,comprehension,コンプリヘンション,,,
2604,共通,名詞,抽象概念,commonality,コモナリティ,,,
2605,独占,名詞,ビジネス,monopoly,モノポリー,,,
2606,連動,名詞,テクノロジー,interlocking,インターロッキング,,,
2607,連鎖,名詞,抽象概念,chain reaction,チェーンリアクション,,,
2608,波及,名詞,社会,ripple effect,リップルエフェクト,,,
2609,反映,名詞,抽象概念,reflection (impact),リフレクション,,,
2610,浸透,名詞,社会,penetration,ペネトレーション,,,
2611,便利,名詞,日常生活,convenient,コンビニエント,,,useful
2612,不便,名詞,日常生活,inconvenient,インコンビニエント,,,
2613,快適,名詞,日常生活,comfortable,コンフォータブル,,,
2614,不快,名詞,日常生活,uncomfortable,アンコンフォータブル,,,
2615,清潔,名詞,日常生活,hygienic (clean),ハイジェニック,,,
2616,不潔,名詞,日常生活,unclean,アンクリーン,,,unhygienic
2617,豊富,名詞,抽象概念,abundant,アバンダント,,,plentiful
2618,不足,名詞,ビジネス,shortage,ショーテージ,,,deficiency
2619,充実,名詞,抽象概念,fulfilling (substantial),フルフィリング,,,
2620,十分,名詞,基本名詞,sufficient,サフィシェント,,,adequate
2621,不十分,名詞,基本名詞,insufficient,インサフィシェント,,,
2622,適切,名詞,ビジネス,appropriate,アプロプリエイト,,,
2623,不適切,名詞,ビジネス,inappropriate,インアプロプリエイト,,,
2624,明確,名詞,抽象概念,clear (definite),クリア,,,
2625,曖昧,名詞,抽象概念,ambiguous,アンビギュアス,,,vague
2626,端末,名詞,テクノロジー,terminal (device),ターミナル,,,
2627,回線,名詞,テクノロジー,line (network),ネットワークライン,,,
2628,通信,名詞,テクノロジー,telecommunications,テレコミュニケーションズ,,,
2629,電波,名詞,テクノロジー,radio wave,レイディオウェーブ,,,signal
2630,周波数,名詞,テクノロジー,frequency,フリークエンシー,,,
2631,容量,名詞,テクノロジー,capacity (storage),キャパシティ,,,
2632,性能,名詞,テクノロジー,performance capability,パフォーマンスケイパビリティ,,,specs
2633,互換性,名詞,テクノロジー,compatibility,コンパティビリティ,,,
2634,汎用性,名詞,テクノロジー,versatility,バーサティリティ,,,
2635,拡張性,名詞,テクノロジー,expandability,エクスパンダビリティ,,,scalability
2636,操作性,名詞,テクノロジー,usability (operability),ユーザビリティ,,,
2637,利便性,名詞,ビジネス,convenience (formal term),コンビニエンス,,,
2638,世論,名詞,社会,public opinion,パブリックオピニオン,,,
2639,支持率,名詞,社会,approval rating,アプルーバルレーティング,,,
2640,投票率,名詞,社会,voter turnout,ボーターターンアウト,,,
2641,法案,名詞,社会,bill (legislation),ビル,,,
2642,施行,名詞,社会,enforcement (of law),エンフォースメント,,,
2643,改正,名詞,社会,revision,リビジョン,,,amendment
2644,廃止,名詞,社会,abolition,アボリション,,,
2645,制定,名詞,社会,enactment,エナクトメント,,,
2646,義務化,名詞,社会,mandating,マンデーティング,,,
2647,民間,名詞,社会,private sector,プライベートセクター,,,
2648,公的,名詞,社会,official (public),オフィシャル,,,
2649,自治体,名詞,社会,local government,ローカルガバメント,,,
2650,行政,名詞,社会,public administration,パブリックアドミニストレーション,,,
2651,辛抱,名詞,感情,fortitude,フォーティテュード,,,perseverance
2652,焦点,名詞,抽象概念,focal point,フォーカルポイント,,,
2653,集中,名詞,抽象概念,concentration (focus),コンセントレーション,,,
2654,分散,名詞,抽象概念,dispersion,ディスパージョン,,,
2655,統一,名詞,社会,unification,ユニフィケーション,,,
2656,統合,名詞,ビジネス,integration,インテグレーション,,,
2657,分裂,名詞,社会,split (division),スプリット,,,
2658,処置,名詞,健康,treatment (measure),トリートメント,,,
2659,配慮,名詞,感情,thoughtful care,ソートフルケア,,,
2660,信頼性,名詞,ビジネス,reliability,リライアビリティ,,,
2661,安全性,名詞,ビジネス,safety,セーフティ,,,
2662,持続性,名詞,ビジネス,sustainability,サステナビリティ,,,
2663,再現性,名詞,教育,reproducibility,リプロデューシビリティ,,,
2664,柔軟性,名詞,ビジネス,flexibility,フレキシビリティ,,,
2665,透明性,名詞,ビジネス,transparency,トランスペアレンシー,,,
2666,客観性,名詞,抽象概念,objectivity,オブジェクティビティ,,,
2667,主観,名詞,抽象概念,subjectivity,サブジェクティビティ,,,
2668,根本,名詞,抽象概念,core basis,コアベイシス,,,root cause
2669,本来,名詞,抽象概念,inherent nature,インヘレントネイチャー,,,
2670,最新,名詞,テクノロジー,latest,レイテスト,,,newest
2671,最先端,名詞,テクノロジー,cutting-edge,カッティングエッジ,,,
2672,最終,名詞,基本名詞,final (last),ファイナル,,,
2673,初期,名詞,基本名詞,initial (early stage),イニシャル,,,
2674,中期,名詞,基本名詞,medium-term,ミディアムターム,,,
2675,後期,名詞,基本名詞,latter period,ラターピリオド,,,
2676,長期,名詞,基本名詞,long-term,ロングターム,,,
2677,短期,名詞,基本名詞,short-term,ショートターム,,,
2678,優先,名詞,ビジネス,priority,プライオリティ,,,
2679,順序,名詞,抽象概念,sequence (order),シークエンス,,,
2680,段階,名詞,抽象概念,phase (stage),フェイズ,,,
2681,過程,名詞,抽象概念,process,プロセス,,,
2682,手順,名詞,ビジネス,procedure,プロシージャ,,,
2683,工程,名詞,ビジネス,workflow (process),ワークフロー,,,
2684,流れ,名詞,基本名詞,flow,フロー,,,
2685,経過,名詞,抽象概念,course (progression),コース,,,
2686,結論,名詞,抽象概念,takeaway (conclusion),テイクアウェイ,,,
2687,実際,名詞,抽象概念,actual fact,アクチュアルファクト,,,reality
2688,実質,名詞,抽象概念,substance (actual content),サブスタンス,,,
2689,形式,名詞,ビジネス,format,フォーマット,,,formality
2690,形式的,名詞,ビジネス,formal (procedural),フォーマル,,,
2691,建前,名詞,社会,public stance,パブリックスタンス,,,facade
2692,本音,名詞,感情,true feelings,トゥルーフィーリングズ,,,
2693,真相,名詞,抽象概念,the real story,ザリアルストーリー,,,truth behind
2694,真実,名詞,抽象概念,truth,トゥルース,,,
2695,感性,名詞,感情,sensibility,センシビリティ,,,
2696,直観,名詞,抽象概念,insight (intuitive),インサイト,,,
2697,洞察,名詞,抽象概念,perceptiveness,パーセプティブネス,,,insight
2698,考察,名詞,教育,analytical discussion,アナリティカルディスカッション,,,
2699,検証,名詞,教育,validation (testing),バリデーション,,,
2700,裏付け,名詞,ビジネス,corroboration,コロボレーション,,,backing
2701,立証,名詞,ビジネス,substantiation,サブスタンシエーション,,,
2702,一石二鳥,名詞,抽象概念,killing two birds with one stone,キリングトゥーバーズ,,,
2703,七転び八起き,名詞,抽象概念,falling down seven times getting up eight,フォーリングセブンタイムズ,,,never giving up
2704,油断大敵,名詞,抽象概念,complacency is the enemy,コンプレイセンシーイズジエネミー,,,
2705,自業自得,名詞,抽象概念,paying for one's own mistakes,ペイングフォーワンズミステイクス,,,
2706,臨機応変,名詞,抽象概念,adapting to circumstances,アダプティングトゥサーカムスタンシズ,,,flexibility
2707,以心伝心,名詞,抽象概念,telepathic understanding,テレパシックアンダースタンディング,,,
2708,一期一会,名詞,抽象概念,once-in-a-lifetime encounter,ワンスインアライフタイムエンカウンター,,,
2709,温故知新,名詞,抽象概念,learning from the past,ラーニングフロムザパスト,,,
2710,四苦八苦,名詞,抽象概念,great struggle,グレートストラグル,,,
2711,十人十色,名詞,抽象概念,to each their own,トゥーイーチゼアオウン,,,
2712,八方美人,名詞,感情,people-pleaser,ピープルプリーザー,,,
2713,猪突猛進,名詞,感情,headlong rush,ヘッドロングラッシュ,,,
2714,起死回生,名詞,抽象概念,comeback from the brink,カムバックフロムザブリンク,,,
2715,半信半疑,名詞,感情,half doubting,ハーフダウティング,,,skeptical
2716,自画自賛,名詞,感情,self-praise,セルフプレイズ,,,
2717,大丈夫,名詞,感情,fine (okay),ファイン,,,alright
2718,適当,名詞,感情,haphazard,ハザード,,,careless
2719,面倒,名詞,感情,troublesome,トラブルサム,,,bothersome
2720,無理,名詞,感情,unreasonable (impossible),アンリーズナブル,,,forced
2721,邪魔,名詞,感情,hindrance,ヒンドランス,,,obstacle
2722,迷惑,名詞,感情,nuisance,ニューサンス,,,trouble
2723,気楽,名詞,感情,carefree,ケアフリー,,,easygoing
2724,真剣,名詞,感情,serious (earnest),シリアス,,,earnest
2725,熱心,名詞,感情,enthusiastic,エンスージアスティック,,,eager
2726,素直,名詞,感情,obedient (honest),オビディエント,,,docile
2727,勝手,名詞,感情,selfish (as one pleases),セルフィッシュ,,,self-willed
2728,得意,名詞,感情,good at,グッドアット,,,proud
2729,苦手,名詞,感情,weak point (bad at),ウィークポイント,,,not good at
2730,平気,名詞,感情,unconcerned,アンコンサーンド,,,fine
2731,残念,名詞,感情,unfortunate (too bad),アンフォーチュネット,,,regrettable
2732,幸い,名詞,感情,fortunate,フォーチュネット,,,lucky
2733,不幸,名詞,感情,unhappy (misfortune),アンハッピー,,,misfortune
2734,大変,名詞,感情,tough (terrible),タフ,,,difficult
2735,結構,名詞,感情,quite (fine),クワイト,,,rather
2736,普通,名詞,基本名詞,normal,ノーマル,,,ordinary
2737,意外,名詞,感情,unexpected,アンエクスペクテッド,,,surprising
2738,微妙,名詞,感情,subtle (iffy),サトル,,,delicate
2739,最悪,名詞,感情,the worst,ザワースト,,,terrible
2740,最高,名詞,感情,the best,ザベスト,,,awesome
2741,無事,名詞,感情,safe (uneventful),セーフ,,,unharmed
2742,一緒,名詞,日常生活,together,トゥギャザー,,,
2743,別々,名詞,日常生活,separately,セパレートリー,,,individually
2744,同じ,名詞,基本名詞,the same,ザセイム,,,identical
2745,下手,名詞,感情,unskilled (bad at),アンスキルド,,,poor at
2746,上手,名詞,感情,skilled (good at),スキルド,,,good at
2747,有名,名詞,社会,famous,フェイマス,,,renowned
2748,立派,名詞,感情,admirable,アドマイラブル,,,splendid
2749,丈夫,名詞,健康,sturdy,スターディ,,,healthy
2750,当然,名詞,抽象概念,natural (obvious),ナチュラル,,,obvious
2751,当たり前,名詞,抽象概念,taken for granted,テイクンフォーグランティッド,,,obvious
2752,意地悪,名詞,感情,mean-spirited,ミーンスピリテッド,,,unkind
2753,生意気,名詞,感情,cheeky,チーキー,,,impudent
2754,贅沢,名詞,日常生活,luxurious (extravagant),ラグジュリアス,,,extravagance
2755,地味,名詞,感情,plain (subdued),プレイン,,,understated
2756,派手,名詞,感情,flashy,フラッシー,,,showy
2757,器用,名詞,感情,dexterous,デクスタラス,,,skillful with hands
2758,不器用,名詞,感情,clumsy,クラムジー,,,awkward
2759,几帳面,名詞,感情,meticulous,メティキュラス,,,punctilious
2760,大切,名詞,感情,precious (important),プレシャス,,,cherished
2761,必死,名詞,感情,desperate,デスパレット,,,frantic
2762,冷静,名詞,感情,calm (composed),カーム,,,composed
2763,積極的,名詞,感情,proactive,プロアクティブ,,,
2764,消極的,名詞,感情,passive,パッシブ,,,
2765,具体的,名詞,抽象概念,concrete (specific),コンクリート,,,
2766,抽象的,名詞,抽象概念,abstract,アブストラクト,,,
2767,現実的,名詞,抽象概念,realistic,リアリスティック,,,
2768,理想的,名詞,抽象概念,idealistic,アイディアリスティック,,,
2769,違う,動詞,基本動詞,be different (casual),ビーディファレント,was different,been different,be wrong
2770,慌てる,動詞,感情,panic (rush),パニック,panicked,panicked,fluster
2771,焦る,動詞,感情,hurry (feel rushed),ハリー,hurried,hurried,feel impatient
2772,びっくりする,動詞,感情,be startled,ビースタートルド,was startled,been startled,be surprised
2773,ほっとする,動詞,感情,feel relieved,フィールリリーブド,felt relieved,felt relieved,
2774,がっかりする,動詞,感情,be disappointed,ビーディサポインテッド,was disappointed,been disappointed,
2775,どきどきする,動詞,感情,have a pounding heart,ハブアパウンディングハート,had a pounding heart,had a pounding heart,be nervous
2776,わくわくする,動詞,感情,feel thrilled,フィールスリルド,felt thrilled,felt thrilled,be excited
2777,呆れる,動詞,感情,be exasperated,ビーイグザスパレイテッド,was exasperated,been exasperated,be amazed (negatively)
2778,感心する,動詞,感情,be impressed,ビーインプレスド,was impressed,been impressed,admire
2779,甘える,動詞,社会,act spoiled,アクトスポイルド,acted spoiled,acted spoiled,depend on someone's kindness
2780,遠慮する,動詞,社会,hold back (be reserved),ホールドバック,held back,held back,refrain
2781,気にする,動詞,感情,care about (mind),ケアアバウト,cared about,cared about,worry about
2782,苦労する,動詞,感情,go through hardship,ゴースルーハードシップ,went through hardship,gone through hardship,struggle
2783,助かる,動詞,感情,be saved (helped),ビーセイブド,was saved,been saved,be a relief
2784,困る,動詞,感情,be troubled,ビートラブルド,was troubled,been troubled,be at a loss
2785,すごい,形容詞,基本形容詞,amazing,アメイジング,,,incredible
2786,やばい,形容詞,基本形容詞,uh-oh (awesome),ウーオー,,,crazy (slang)
2787,もったいない,形容詞,基本形容詞,wasteful,ウェイストフル,,,
2788,しんどい,形容詞,基本形容詞,exhausting,イグゾースティング,,,tough
2789,きつい,形容詞,基本形容詞,tough (tight),タフ,,,harsh
2790,だるい,形容詞,基本形容詞,sluggish,スラギッシュ,,,lethargic
2791,うざい,形容詞,基本形容詞,annoying,アノーイング,,,irritating
2792,本気,名詞,感情,seriousness (for real),シリアスネス,,,earnestness
2793,油断,名詞,感情,carelessness (off guard),ケアレスネス,,,negligence
2794,根気,名詞,感情,perseverance (for tasks),パーサビアランス,,,patience
2795,気合,名詞,感情,spirit (determination),スピリット,,,fighting spirit
2796,負けず嫌い,名詞,感情,hating to lose,ヘイティングトゥールーズ,,,competitive spirit
2797,天然,名詞,感情,airheaded,エアヘッデッド,,,ditzy
2798,おっちょこちょい,名詞,感情,scatterbrained,スキャッターブレインド,,,
2799,図太い,形容詞,基本形容詞,thick-skinned,シックスキンド,,,brazen
2800,初耳,名詞,日常生活,first time hearing,ファーストタイムヒアリング,,,news to me
2801,呑気,名詞,感情,easygoing (laid-back),イージーゴーイング,,,carefree
2802,妥当,名詞,ビジネス,reasonable (valid),リーズナブル,,,
2803,正当,名詞,社会,justified,ジャスティファイド,,,legitimate
2804,不当,名詞,社会,unjust,アンジャスト,,,unfair
2805,不公平,名詞,社会,unfair,アンフェア,,,
2806,均衡,名詞,ビジネス,equilibrium,イクイリブリアム,,,balance
2807,冷淡,名詞,感情,cold-hearted,コールドハーテッド,,,indifferent
2808,温厚,名詞,感情,gentle-natured,ジェントルネイチャード,,,mild-mannered
2809,短気,名詞,感情,short-tempered,ショートテンパード,,,
2810,気長,名詞,感情,patient (laid-back),レイドバック,,,unhurried
2811,楽観的,名詞,感情,optimistic,オプティミスティック,,,
2812,悲観的,名詞,感情,pessimistic,ペシミスティック,,,
2813,内向的,名詞,感情,introverted,イントロバーテッド,,,
2814,外向的,名詞,感情,extroverted,エクストラバーテッド,,,
2815,保守的,名詞,社会,conservative,コンサバティブ,,,
2816,革新的,名詞,ビジネス,innovative,イノベーティブ,,,
2817,業績,名詞,ビジネス,business performance,ビジネスパフォーマンス,,,
2818,収益,名詞,ビジネス,gains (revenue),ゲインズ,,,
2819,損益,名詞,ビジネス,profit and loss,プロフィットアンドロス,,,
2820,財務,名詞,ビジネス,corporate finance,コーポレートファイナンス,,,
2821,経費,名詞,ビジネス,expenses (business),ビジネスエクスペンシズ,,,
2822,資産,名詞,ビジネス,assets,アセッツ,,,
2823,負債,名詞,ビジネス,liabilities,ライアビリティーズ,,,
2824,出資,名詞,ビジネス,funding (investment),ファンディング,,,
2825,融資,名詞,ビジネス,financing (loan),ファイナンシング,,,
2826,いいね,名詞,テクノロジー,like (social media),ライク,,,
2827,シェア,名詞,テクノロジー,share (social media),シェア,,,
2828,ハッシュタグ,名詞,テクノロジー,hashtag,ハッシュタグ,,,
2829,チャット,名詞,テクノロジー,chat,チャット,,,
2830,メッセージ,名詞,テクノロジー,message,メッセージ,,,
2831,人工知能,名詞,テクノロジー,artificial intelligence,アーティフィシャルインテリジェンス,,,AI
2832,ロボット,名詞,テクノロジー,robot,ロボット,,,
2833,オンライン,名詞,テクノロジー,online,オンライン,,,
2834,オフライン,名詞,テクノロジー,offline,オフライン,,,
2835,加湿器,名詞,日常生活,humidifier,ヒューミディファイアー,,,
2836,除湿器,名詞,日常生活,dehumidifier,ディヒューミディファイアー,,,
2837,空気清浄機,名詞,日常生活,air purifier,エアピュリファイアー,,,
2838,換気,名詞,日常生活,ventilation,ベンチレーション,,,
2839,観光地,名詞,場所,tourist spot,ツーリストスポット,,,
2840,名所,名詞,場所,famous place,フェイマスプレイス,,,landmark
2841,温泉,名詞,場所,hot spring,ホットスプリング,,,
2842,銭湯,名詞,場所,public bathhouse,パブリックバスハウス,,,
2843,旅館,名詞,場所,traditional inn,トラディショナルイン,,,ryokan
2844,定食,名詞,食べ物,set meal,セットミール,,,
2845,弁当,名詞,食べ物,boxed lunch,ボックスドランチ,,,bento
2846,おにぎり,名詞,食べ物,rice ball,ライスボール,,,onigiri
2847,惣菜,名詞,食べ物,prepared side dish,プリペアドサイドディッシュ,,,
2848,外食,名詞,日常生活,eating out,イーティングアウト,,,dining out
2849,自炊,名詞,日常生活,cooking for oneself,クッキングフォーワンセルフ,,,
2850,朝食,名詞,食べ物,breakfast,ブレックファスト,,,
2851,昼食,名詞,食べ物,lunch,ランチ,,,
2852,夕食,名詞,食べ物,dinner,ディナー,,,
2853,体調,名詞,健康,physical condition,フィジカルコンディション,,,
2854,不調,名詞,健康,being unwell,ビーイングアンウェル,,,off condition
2855,症状,名詞,健康,symptom,シンプトム,,,
2856,副作用,名詞,健康,side effect,サイドエフェクト,,,
2857,持病,名詞,健康,chronic condition,クロニックコンディション,,,
2858,健康診断,名詞,健康,health checkup,ヘルスチェックアップ,,,
2859,予防接種,名詞,健康,vaccination,バクシネーション,,,
2860,整理する,動詞,日常生活,organize (sort out),オーガナイズ,organized,organized,tidy up
2861,整える,動詞,日常生活,arrange (put in order),アレンジ,arranged,arranged,
2862,揃える,動詞,日常生活,gather (match a set),ギャザー,gathered,gathered,align
2863,詰める,動詞,日常生活,pack (stuff),パック,packed,packed,
2864,積む,動詞,日常生活,pile up (load),パイルアップ,piled up,piled up,stack
2865,積み重ねる,動詞,抽象概念,stack up,スタックアップ,stacked up,stacked up,accumulate
2866,崩す,動詞,基本動詞,break down (something),ブレイクダウン,broke down,broken down,collapse (transitive)
2867,崩れる,動詞,基本動詞,collapse,コラプス,collapsed,collapsed,crumble
2868,保つ,動詞,抽象概念,maintain (keep),メインテイン,maintained,maintained,keep up
2869,包む,動詞,日常生活,wrap,ラップ,wrapped,wrapped,
2870,開ける,動詞,基本動詞,open (something),オープン,opened,opened,
2871,閉じる,動詞,基本動詞,close (something),クローズ,closed,closed,shut
2872,結ぶ,動詞,日常生活,tie (bind),タイ,tied,tied,fasten
2873,解く,動詞,日常生活,untie,アンタイ,untied,untied,undo
2874,縛る,動詞,日常生活,bind,バインド,bound,bound,tie up
2875,貼る,動詞,日常生活,stick (paste),スティック,stuck,stuck,affix
2876,剥がす,動詞,日常生活,peel off,ピールオフ,peeled off,peeled off,remove
2877,眩しい,形容詞,基本形容詞,dazzling,ダズリング,,,glaring
2878,蒸し暑い,形容詞,基本形容詞,humid and hot,ヒューミッドアンドホット,,,muggy
2879,肌寒い,形容詞,基本形容詞,chilly,チリー,,,
2880,涼しい,形容詞,基本形容詞,cool (refreshing),クール,,,
2881,湿っぽい,形容詞,基本形容詞,damp,ダンプ,,,moist
2882,絆,名詞,感情,bond,ボンド,,,tie
2883,信頼関係,名詞,社会,relationship of trust,リレーションシップオブトラスト,,,
2884,上下関係,名詞,社会,hierarchical relationship,ハイアラーキカルリレーションシップ,,,
2885,距離感,名詞,感情,sense of distance,センスオブディスタンス,,,
2886,相性,名詞,感情,compatibility (with a person),パーソナルコンパティビリティ,,,chemistry
2887,気配り,名詞,感情,thoughtfulness (attentiveness),アテンティブネス,,,consideration
2888,恩,名詞,社会,debt of gratitude,デットオブグラティテュード,,,favor owed
2889,義理,名詞,社会,social obligation,ソーシャルオブリゲーション,,,duty
2890,習得,名詞,教育,acquisition (of a skill),スキルアクイジション,,,mastering
2891,獲得,名詞,ビジネス,acquisition (gaining),ゲイニング,,,obtaining
2892,向上心,名詞,感情,ambition to improve,アンビショントゥインプルーブ,,,drive to grow
2893,成長期,名詞,健康,growth period,グロウスピリオド,,,
2894,伸びしろ,名詞,感情,room for growth,ルームフォーグロウス,,,growth potential
2895,素質,名詞,感情,aptitude,アプティテュード,,,talent
2896,潜在能力,名詞,感情,latent potential,レイテントポテンシャル,,,
2897,派手さ,名詞,感情,flashiness,フラッシーネス,,,
2898,控えめ,名詞,感情,modest (reserved),モデスト,,,understated
2899,地道,名詞,感情,steady (down-to-earth),ステディ,,,plodding
2900,堅実,名詞,ビジネス,steady and reliable,ステディアンドライアブル,,,solid
2901,慎重,名詞,感情,cautious,コーシャス,,,careful
2902,大胆,名詞,感情,bold,ボールド,,,daring
2903,独創的,名詞,感情,original (creative),クリエイティブ,,,inventive
2904,型破り,名詞,感情,unconventional,アンコンベンショナル,,,groundbreaking
2905,柔軟,名詞,ビジネス,flexible,フレキシブル,,,adaptable
2906,大幅,名詞,ビジネス,substantial (extensive),サブスタンシャル,,,significant
2907,急激,名詞,ビジネス,rapid (sudden),ラピッド,,,abrupt
2908,飛躍的,名詞,ビジネス,dramatic (leap-like),ドラマティック,,,remarkable
2909,過剰,名詞,ビジネス,excessive,エクセッシブ,,,surplus
2910,打ち合わせ,名詞,ビジネス,meeting (business),ビジネスミーティング,,,
2911,報告,名詞,ビジネス,report,リポート,,,
2912,相談,名詞,社会,consultation,コンサルテーション,,,
2913,進捗,名詞,ビジネス,progress (status),ステータス,,,
2914,改善策,名詞,ビジネス,improvement measure,インプルーブメントメジャー,,,
2915,対策,名詞,ビジネス,countermeasure,カウンターメジャー,,,
2916,課題,名詞,ビジネス,issue (task to solve),イシュー,,,challenge
2917,懸念,名詞,ビジネス,concern (worry),コンサーン,,,
2918,特有,名詞,抽象概念,peculiar to,ペキュリアートゥ,,,characteristic of
2919,先入観,名詞,抽象概念,preconception,プリコンセプション,,,bias
2920,固定観念,名詞,抽象概念,fixed mindset,フィックストマインドセット,,,stereotype
2921,決まり文句,名詞,趣味,cliché,クリシェ,,,stock phrase
2922,手本,名詞,教育,model (example),モデル,,,exemplar
2923,見本,名詞,ビジネス,sample,サンプル,,,
2924,実例,名詞,教育,concrete example,コンクリートイグザンプル,,,
2925,事例,名詞,ビジネス,case example,ケースイグザンプル,,,
2926,前例,名詞,社会,precedent,プレシデント,,,
2927,慣例,名詞,社会,custom (convention),コンベンション,,,
2928,恒例,名詞,社会,annual tradition,アニュアルトラディション,,,
2929,見つめる,動詞,感情,gaze at,ゲイズアット,gazed at,gazed at,stare at
2930,眺める,動詞,趣味,gaze out at,ゲイズアウトアット,gazed out at,gazed out at,view
2931,覗く,動詞,日常生活,peek,ピーク,peeked,peeked,peer into
2932,振り返る,動詞,抽象概念,look back (reflect),ルックバック,looked back,looked back,reflect on
2933,振り向く,動詞,日常生活,turn around,ターンアラウンド,turned around,turned around,
2934,見守る,動詞,感情,watch over,ウォッチオーバー,watched over,watched over,
2935,見逃す,動詞,基本動詞,miss (overlook),ミス,missed,missed,let slip
2936,見落とす,動詞,基本動詞,overlook,オーバールック,overlooked,overlooked,miss
2937,乗り換え,名詞,日常生活,transfer (train),トレイントランスファー,,,
2938,時刻表,名詞,日常生活,timetable,タイムテーブル,,,schedule
2939,運賃,名詞,日常生活,fare,フェア,,,
2940,往復,名詞,日常生活,round trip,ラウンドトリップ,,,
2941,片道,名詞,日常生活,one way,ワンウェイ,,,
2942,サブスク,名詞,ビジネス,subscription service,サブスクリプション,,,
2943,ポイント,名詞,ビジネス,reward points,リワードポイント,,,
2944,クーポン,名詞,ビジネス,coupon,クーポン,,,
2945,体力,名詞,健康,physical strength,フィジカルストレングス,,,stamina
2946,気力,名詞,感情,mental energy,メンタルエナジー,,,willpower
2947,集中力,名詞,抽象概念,concentration ability,コンセントレーションアビリティ,,,
2948,判断力,名詞,抽象概念,judgment ability,ジャッジメントアビリティ,,,
2949,想像力,名詞,抽象概念,imaginative power,イマジナティブパワー,,,
2950,忍耐力,名詞,感情,power of patience,パワーオブペイシェンス,,,
2951,精神力,名詞,感情,mental strength,メンタルストレングス,,,
2952,行動力,名詞,抽象概念,ability to take action,アビリティトゥテイクアクション,,,
2953,実行力,名詞,ビジネス,execution ability,エクセキューションアビリティ,,,
2954,発想力,名詞,抽象概念,idea-generating ability,アイディアジェネレーティングアビリティ,,,
2955,表現力,名詞,趣味,expressive ability,エクスプレッシブアビリティ,,,
2956,根性,名詞,感情,guts (grit),ガッツ,,,
2957,度胸,名詞,感情,nerve (courage),ナーブ,,,
